OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Median Age for Chart
57,57,58,115,SARASOTA,Sarasota,FL,12987,152,166,644,1127,1173,1607,2416,2758,1969,934,41,0 to 119,61,7338,5468,181,12752,235,0,416,12213,190,895,92,658,12322,4,3,12745,580,58,14,6,371,267,0,638,4,5,30,60,66,71,99,111,121,91,0,0 to 104,64,514,49,39,36,55,512,71,193,12,167,9,1,85,658,279,379,638,20,0,18417,215,19295,18632,658,85,232,126,1509311882.53409,264158.506465067,64
58,58,14,27,DESOTO,Desoto,FL,2221,44,60,165,299,294,403,459,272,153,68,4,0 to 102,51,874,1203,144,2211,10,0,14,1976,48,255,7,245,1970,0,6,2205,127,118,0,0,105,139,1,245,7,19,31,52,36,30,36,22,6,6,0,0 to 92,38,180,15,2,48,135,52,58,42,0,32,0,0,7,245,139,105,245,0,0,2546,10,2802,2556,245,7,226,130,1654926851.96404,168390.780925558,62
59,59,18,35,FLAGLER,Flagler,FL,3840,42,38,185,364,447,542,764,761,481,210,6,0 to 119,59,2252,1536,52,3805,35,0,70,3676,37,179,37,195,3641,4,0,3801,165,25,5,0,112,78,0,190,0,4,13,23,23,31,48,35,15,3,0,5 to 94,55,115,29,39,7,23,158,9,32,3,22,2,1,4,195,80,115,190,5,0,5123,30,5352,5153,195,4,65,36,1294754947.55994,220559.838719988,56
60,60,26,51,HENDRY,Hendry,FL,2179,65,68,249,400,335,318,309,189,134,105,7,0 to 119,44,1077,1090,12,2177,2,0,96,1738,32,505,2,521,1656,0,2,2175,484,37,0,0,186,333,2,521,12,12,61,128,102,78,55,31,25,17,0,0 to 101,40,410,54,14,43,376,118,27,88,0,54,0,0,17,521,333,186,521,0,0,2560,2,3083,2562,521,17,600,235,3080878042.06929,290231.154940413,48
61,61,31,61,INDIAN RIVER,Indian River,FL,5184,47,54,286,445,454,613,870,1060,772,569,14,0 to 119,62,3164,1998,22,5113,71,0,163,4756,77,327,58,154,4982,0,48,5067,129,14,9,2,75,68,0,143,0,5,13,18,15,20,19,29,23,12,0,5 to 96,58,100,12,18,13,21,98,24,60,6,33,3,0,11,154,75,79,143,11,0,6241,58,6453,6299,154,11,657,201,1319798862.49319,234087.653130679,64
62,62,6,11,BROWARD,Broward,FL,92922,1052,1358,5946,13331,14127,16452,17877,12464,6659,3464,192,0 to 119,51,50598,40700,1624,91484,1438,0,1787,86266,2336,7769,978,7572,85285,44,21,91422,6183,1216,149,24,3757,3640,2,7399,36,102,625,1189,1199,1386,1376,830,519,310,0,0 to 102,49,3738,2728,688,245,2485,4686,228,2436,66,1551,54,21,327,7572,3751,3819,7399,173,0,109439,1262,118333,110701,7572,327,1086,722,3142374056.01305,291881.846057183,50
63,63,17,33,ESCAMBIA,Escambia,FL,17647,437,445,1375,2273,2057,2393,3302,2794,1606,929,36,0 to 119,54,10685,6922,40,14900,2747,0,144,17078,183,655,65,871,16767,8,1,14891,634,63,174,0,404,293,0,697,9,23,84,115,116,109,138,106,106,65,0,0 to 105,53,320,269,17,91,14,528,155,86,0,65,0,0,36,871,357,514,697,174,0,18465,2573,21917,21038,871,36,173,93,1767890300.40206,439974.169549806,54
64,64,47,93,OKEECHOBEE,Okeechobee,FL,1555,24,40,214,181,162,195,240,178,174,136,11,0 to 119,53,925,609,21,1548,7,0,51,1419,2,123,8,122,1433,0,0,1548,99,22,1,0,61,60,0,121,3,12,32,18,19,16,15,4,2,1,0,2 to 87,33,77,17,10,17,51,52,18,8,0,12,1,0,0,122,61,61,121,1,0,1836,6,1964,1842,122,0,117,73,2307690905.70045,272539.677334045,56
65,65,19,37,FRANKLIN,Franklin,FL,460,2,4,24,34,34,48,105,123,71,15,0,0 to 95,63,257,200,3,456,4,0,8,452,0,5,3,2,458,0,0,456,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,661,3,666,664,2,0,3,2,1445840682.56789,446544.245992026,42
66,66,1,1,ALACHUA,Alachua,FL,15223,210,205,1574,2783,2227,2210,2562,1900,912,574,66,0 to 119,47,8836,6235,152,14954,269,0,201,14821,61,418,56,392,14824,7,0,14947,320,53,8,11,220,153,0,373,3,5,60,70,46,60,56,56,22,13,1,0 to 103,47,150,137,36,50,44,279,50,119,5,79,4,0,8,392,162,230,373,19,0,22334,250,22983,22584,392,8,78,57,2510756491.26947,272135.471452184,49
67,67,55,109,ST. JOHNS,St. Johns,FL,9653,129,226,674,967,1412,1596,1758,1625,862,388,16,0 to 119,53,5381,4153,119,9625,28,0,223,9136,208,372,120,270,9356,21,6,9598,209,51,7,3,131,129,0,260,2,6,22,27,33,56,60,43,16,5,0,2 to 97,52,209,17,17,17,16,217,27,62,3,40,3,0,6,270,135,135,260,10,0,12095,18,12405,12113,270,6,178,140,1658206648.51031,344848.248220385,53
68,999,999,999,Unknown,Unknown,FL,1385,0,2,66,149,174,188,177,141,217,269,2,6 to 119,60,948,430,7,130,1255,0,1,1383,0,3,8,95,1288,1,1,129,6,1,87,1,3,4,0,7,0,1,8,26,17,21,9,4,7,2,0,6 to 88,41,1,0,1,5,0,0,7,0,1,0,0,0,0,95,56,38,7,88,0,301,1166,1577,1467,95,0,14,12,426757389.663452,73231.2921286601,36
