OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Median Age for Chart
27,27,35,69,LAKE,Lake,FL,14941,205,229,746,1318,1443,1849,2439,2805,1991,654,1262,0 to 101,59,7844,5995,1102,14806,135,0,131,14447,222,344,92,317,14605,10,9,14788,286,16,15,0,158,144,0,302,1,8,20,36,45,57,50,51,43,6,0,1 to 98,52,172,41,79,10,81,206,15,121,12,74,5,1,15,317,153,164,302,15,0,18041,119,18488,18160,317,15,398,120,2995995460.71371,331014.242454318,52
28,28,38,75,LEVY,Levy,FL,1610,25,27,139,187,172,217,322,257,184,79,1,0 to 118,56,972,621,17,1609,1,0,17,1482,16,198,2,55,1555,0,0,1609,52,3,0,0,29,26,0,55,1,1,12,6,11,5,11,4,1,3,0,3 to 99,40,23,8,6,18,7,30,18,12,0,4,0,0,1,55,26,29,55,0,0,2096,1,2152,2097,55,1,66,16,2900663690.96646,339394.964008615,53
29,29,60,119,SUMTER,Sumter,FL,3818,27,25,90,171,180,295,510,1413,889,132,86,0 to 119,69,1863,1741,214,3744,74,0,110,3462,164,270,54,261,3534,0,23,3721,212,48,0,1,76,184,0,260,0,0,7,6,32,40,39,89,40,8,0,17 to 92,65,216,34,6,4,15,238,7,58,0,45,0,0,17,261,185,76,260,1,0,4330,73,4669,4403,261,17,54,42,1502516062.89801,229328.389599522,66
30,30,59,117,SEMINOLE,Seminole,FL,16382,209,375,1223,2008,2198,2553,2810,2458,1168,501,879,0 to 119,51,9335,6918,129,16347,35,0,247,15756,246,485,95,515,15852,12,3,16332,462,46,7,0,275,233,0,508,9,11,57,84,82,91,63,65,31,22,0,0 to 100,46,370,74,62,2,182,322,4,200,5,112,1,0,12,515,236,279,508,7,0,21394,28,21949,21422,515,12,429,186,893350621.597626,158549.770327082,47
31,31,48,95,ORANGE,Orange,FL,61524,1082,1388,4521,8572,9083,9870,10143,7335,3479,1329,4722,0 to 120,48,34060,27147,317,60481,1042,1,634,59615,585,1599,390,2210,59248,51,15,60416,2024,102,80,4,1001,1122,3,2126,36,57,234,413,421,443,332,159,81,33,1,0 to 101,43,862,381,685,198,908,968,250,648,41,344,34,5,43,2210,1171,1036,2125,84,1,74764,958,77986,75722,2210,43,700,487,2601855780.29929,275135.911496092,45
32,32,9,17,CITRUS,Citrus,FL,3802,38,64,170,342,333,442,700,899,614,190,10,0 to 222,62,2093,1495,214,3795,7,0,52,3553,119,213,25,125,3674,2,1,3793,64,61,0,0,61,64,0,125,2,4,10,9,7,17,29,21,16,10,0,0 to 97,60,87,3,11,24,14,87,24,31,0,33,0,0,12,125,64,61,125,0,0,4826,6,4960,4832,125,12,504,54,1565249379.23035,242867.273750112,58
33,33,27,53,HERNANDO,Hernando,FL,3470,65,59,241,461,425,523,655,538,369,130,4,0 to 100,54,2080,1376,14,3452,18,0,63,3278,66,155,40,122,3348,0,0,3452,68,49,4,1,57,60,0,117,1,6,7,26,15,17,23,16,9,2,0,1 to 88,48,96,17,4,0,26,90,1,39,2,25,2,1,5,122,61,61,117,5,0,4586,13,4722,4599,122,5,202,151,1259956856.20596,200494.167365377,49
34,34,52,103,PINELLAS,Pinellas,FL,36077,348,411,2020,4050,4070,5184,7086,6606,4046,2177,79,0 to 120,57,20930,15035,112,35754,323,0,1679,33263,411,3103,372,1478,34378,13,208,35534,1305,122,45,6,809,612,6,1427,10,32,111,229,184,215,225,187,154,131,0,0 to 101,52,949,279,94,105,153,1120,154,406,18,407,16,1,95,1478,643,829,1427,51,0,46913,271,48678,47184,1478,95,333,241,758940582.722305,356104.408630079,56
35,35,61,121,SUWANNEE,Suwannee,FL,2105,54,46,156,268,239,246,339,299,236,212,10,0 to 118,56,1353,670,82,2100,5,0,58,1854,110,504,13,174,1931,0,0,2100,70,99,2,3,117,52,0,169,1,6,15,17,23,22,19,21,30,20,0,1 to 102,56,112,43,7,7,19,141,9,33,1,39,0,0,18,174,54,120,169,5,0,2386,0,2562,2386,174,18,14,10,1792465815.52835,223150.095858967,63
36,36,16,31,DUVAL,Duval,FL,47783,762,987,4140,7485,6927,7388,8667,6396,3274,1644,112,-6 to 119,50,26430,20577,776,47184,599,0,585,45832,454,1648,193,1736,45949,20,78,47086,1488,175,62,11,899,763,1,1663,22,49,168,286,282,266,300,201,101,61,0,0 to 101,47,736,600,220,107,268,1236,159,363,18,283,10,3,52,1736,799,934,1663,73,0,59183,526,61474,59709,1736,52,1065,949,2136692125.83844,339628.979868484,50
